# nonletter-usage migration ledger — the SHIPPED rule vs the three retired rules
# corpora=1504

## fleet ledger
retired_rule	total	preserved	coalesced	intentionally-moved	lost
punct.adjacency-anomaly	9354	1252	256	7846	0
lex.punct-only-token	4481	393	0	4088	0
punct.spacing-anomaly	27024	231	1418	25375	0
ALL	40859	1876	1674	37309	0

new_rule_findings_at_defaults	13709
lost_share	0.000000

## obligation (a) — adjacency findings that moved because sequence k = 2
# an old adjacency finding the rule declines at k=2 but WOULD emit at k=8:
# the pairing was already seen 2..7 times in this translation.
k2_specific_movers	908
share_of_adjacency_moved	0.115728
corpus	sid	pattern	context
WA-zmb-x-kwange-reg	JHN 18:9	,;;	…lyee olelee, alya aochangee,;; monda mwe balya bambecha…
tczchongthu	EXO 3:13	?,	… chu iti ka donbut ding ham?,” ati.…
tczchongthu	EXO 14:4	.*	…angho nung ahin delding ahi.* Ajeh chu keiman ka gontup…
tczchongthu	2KI 10:9	?,	…ho cheng hi koitha hija ham?,” atin ahi.…
WA-arq-reg	MRK 7:28	!:	…جْبَاتَهْ:"وَاهْ، يَاسَيدِي!: حَتَى لَكْلاَبْ ياَكْلُوا…
WA-arq-reg	LUK 11:11	؟!	…ْ خُبْزْ، وْيَعْطِهْ حْجَرْ؟! ولاَ يَطْلَبْ منّهْ حُوتْ…
WA-arq-reg	LUK 11:45	؟!	…َايَرْ فِينَا حْنَا تَانِي ؟!"۔…
WA-asa-reg	MAT 4:10	!!	…esu akamti vuka aha shetani!! Ambu cheandikwe kuti!! Md…
WA-asa-reg	MAT 4:10	!!	…tani!! Ambu cheandikwe kuti!! Mdunkutie mfumwa mrungu w…
WA-asa-reg	MRK 11:3	?,	…nemuti,'Hanini mweketa huvo?, Muendwa mumti,' Mfumwa ee…
WA-bds-reg	MRK 11:3	?,	…e, ' haagi sooyi gweetiiri'?, kukuray sugu kaadee ubee,…
WA-bds-reg	MRK 13:6	,;	…oy, hari tay kaakamuya tuba,; awa si ndiyee', hari afaa…
WA-bds-reg	LUK 13:9	.!	…aqwala. lugumaa asu dahhada.!"…
WA-bez-reg	MRK 9:28	,,	…Wakati Yesu peakengie mgati,, vanafunzi vake vamuuchile…
WA-bez-reg	LUK 13:9	.!	…ni ngita seubaba, ulidumute.!''…
WA-bez-reg	JHN 16:16	,,	… baada ya muda mufupi yangi,, uniwona.''…
WA-bn-ulb	PSA 25:10	।।	…বং বিশ্বাসযোগ্যতা দিয়ে তৈরী।।…
WA-bn-ulb	PSA 70:1	,;	…ঈশ্বর, আমার রক্ষা কর,; সদাপ্রভুু, আমার তাড়াতাড়ি …
WA-bn-ulb	EZK 22:12	।;	…ুষ নিয়েছে রক্তপাত করার জন্য।; তুমি সুদ ও প্রচুর লাভ নিয়…
WA-enb-x-kiptani-reg	MAT 3:7	?.	… oyestae nerekek che bwonii?.…
WA-enb-x-kiptani-reg	MAT 10:29	?.	…bebertab taman nebo denarit?. Amaibutyini ing'weny agen…
WA-enb-x-kiptani-reg	JHN 5:5	.,	…an kenyisyek Sosom ak Sisit.,…
WA-es-419-udb	MAT 22:4	.¡	… cocinadas. Todo está listo.¡Es tiempo ahora para usted…
WA-es-419-udb	MRK 2:16	.?	…bres que colectan impuestos.?"…
WA-es-419-udb	MRK 2:18	.?	…nudo se abstienen de comida.? ¿Por qué tus discípulos n…
WA-hke-x-bakobo-reg	MAT 14:8	,:	…wa na nyinya uwe, ame neena,: "ameleta mbale ati munyih…
WA-hke-x-bakobo-reg	MAT 20:17	,:	…ibiri, omonzira ama bwirabo,:…
WA-hke-x-bakobo-reg	LUK 22:38	.,	…ali mipangi biri amabwirabo.,"Athi nakiyahatoya."…
WA-ilo-udb	1KI 13:1	,.	…n isuna a napan idiay Betel,. Dimteng isuna sadiay iti …
WA-ilo-udb	2KI 20:13	----	…inanna kadagiti kinabaknang---- dagiti pirak ken balito…
WA-ilo-udb	JOB 3:25	----	…ankanayonko a pagdandanagan----napasamak kaniak dagitoy…
WA-kdc-reg	MAT 19:24	.,	…wingila muundewa wa Mulungu.,"…
WA-kdc-reg	MAT 25:20	.,	… mhata mifuko mitano iyagwe.,…
