# nonletter-usage migration ledger — the SHIPPED rule vs the three retired rules
# corpora=1504

## fleet ledger
retired_rule	total	preserved	coalesced	intentionally-moved	lost
punct.adjacency-anomaly	9354	1252	256	7846	0
lex.punct-only-token	4481	393	0	4088	0
punct.spacing-anomaly	27024	231	1418	25375	0
ALL	40859	1876	1674	37309	0

new_rule_findings_at_defaults	13709
lost_share	0.000000

## obligation (a) — adjacency findings that moved because sequence k = 2
# an old adjacency finding the rule declines at k=2 but WOULD emit at k=8:
# the pairing was already seen 2..7 times in this translation.
k2_specific_movers	908
share_of_adjacency_moved	0.115728
corpus	sid	pattern	context
WA-kdi-reg	17	25	2	1	22	0	1	0	0	1	0	12	0	0	12	0	0
WA-kdp-reg	10	14	1	0	13	0	2	1	0	1	0	28	0	1	27	0	0
WA-kdx-reg	18	33	4	2	27	0	0	0	0	0	0	4	1	1	2	0	6
WA-khx-reg	9	17	3	0	14	0	4	2	0	2	0	22	0	1	21	0	2
WA-kiz-reg	6	4	0	0	4	0	2	1	0	1	0	21	0	0	21	0	4
WA-kki-ulb	13	12	2	0	10	0	0	0	0	0	0	22	0	0	22	0	2
WA-kls-reg	13	13	0	0	13	0	0	0	0	0	0	8	0	0	8	0	0
WA-km-ulb	26	30	0	0	30	0	0	0	0	0	0	75	0	3	72	0	2
WA-kmr-IQ-badini-reg	13	12	2	0	10	0	6	0	0	6	0	51	1	3	47	0	4
WA-kmr-x-afrini-reg	21	7	1	0	6	0	1	0	0	1	0	38	0	4	34	0	3
WA-kmw-x-punia-reg	18	12	3	0	9	0	8	3	0	5	0	19	0	1	18	0	4
WA-kn-ulb	20	22	4	0	18	0	12	0	0	12	0	111	0	6	105	0	2
WA-kng-x-kindibu-reg	14	18	1	1	16	0	0	0	0	0	0	0	0	0	0	0	4
WA-knl-x-kenyilu-reg	7	13	1	0	12	0	1	0	0	1	0	23	0	0	23	0	6
WA-knx-x-bajare-reg	13	51	3	0	48	0	13	1	0	12	0	28	0	4	24	0	0
WA-kod-reg	21	38	4	1	33	0	0	0	0	0	0	38	0	2	36	0	4
WA-kpk-reg	22	35	5	0	30	0	5	0	0	5	0	18	0	2	16	0	0
WA-ksv-reg	25	17	4	0	13	0	0	0	0	0	0	23	1	0	22	0	4
WA-kty-reg	16	141	4	0	137	0	1	0	0	1	0	17	0	0	17	0	2
WA-kuh-reg	10	12	2	0	10	0	1	0	0	1	0	15	0	1	14	0	2
WA-kvb-reg	23	32	3	1	28	0	6	2	0	4	0	28	1	2	25	0	6
WA-kxv-reg	5	0	0	0	0	0	10	1	0	9	0	9	0	0	9	0	0
WA-kya-x-ruri-reg	20	23	2	0	21	0	6	1	0	5	0	8	0	2	6	0	0
WA-lai-TZ-kilambya-reg	21	34	3	0	31	0	2	1	0	1	0	11	0	0	11	0	2
WA-lee-reg	33	29	4	1	24	0	11	0	0	11	0	31	1	3	27	0	2
WA-lel-reg	33	17	3	1	13	0	11	2	0	9	0	43	0	3	40	0	0
WA-lke-reg	6	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
WA-lko-reg	6	0	0	0	0	0	5	0	0	5	0	17	0	0	17	0	0
WA-lks-reg	18	31	2	1	28	0	1	1	0	0	0	10	0	0	10	0	4
WA-lmn-x-anjara-reg	12	2	1	0	1	0	0	0	0	0	0	32	0	2	30	0	0
WA-lmy-reg	21	20	4	0	16	0	2	2	0	0	0	27	0	2	25	0	4
WA-lno-x-okolie-reg	25	5	3	1	1	0	1	1	0	0	0	8	0	0	8	0	0
WA-lo-ulb	59	25	2	0	23	0	0	0	0	0	0	13	0	0	13	0	2
WA-lot-reg	6	3	0	0	3	0	0	0	0	0	0	28	0	0	28	0	0
WA-lpx-reg	13	9	3	0	6	0	0	0	0	0	0	25	0	0	25	0	2
WA-lto-reg	19	17	2	1	14	0	4	2	0	2	0	13	1	1	11	0	0
WA-lts-reg	13	37	5	0	32	0	2	0	0	2	0	4	0	3	1	0	0
WA-lul-reg	31	24	2	1	21	0	0	0	0	0	0	24	0	2	22	0	4
WA-lur-reg	33	67	8	0	59	0	1	0	0	1	0	20	2	6	12	0	6
WA-mgq-reg	13	23	3	1	19	0	3	0	0	3	0	11	0	1	10	0	4
WA-mgs-reg	14	12	2	1	9	0	1	1	0	0	0	12	0	1	11	0	0
WA-mgv-reg	25	24	6	1	17	0	12	2	0	10	0	30	0	1	29	0	0
WA-mgy-reg	16	30	5	3	22	0	0	0	0	0	0	34	0	1	33	0	2
WA-mgz-reg	15	36	3	1	32	0	1	0	0	1	0	22	0	0	22	0	11
WA-mhd-reg	24	36	6	0	30	0	1	0	0	1	0	12	0	3	9	0	6
WA-mhi-x-burolo-reg	34	35	6	0	29	0	3	3	0	0	0	21	0	2	19	0	0
WA-mjh-reg	14	10	3	0	7	0	0	0	0	0	0	19	0	1	18	0	2
WA-mji-x-daoaodai-reg	16	24	2	2	20	0	1	1	0	0	0	30	0	4	26	0	6
WA-mko-reg	19	40	5	0	35	0	0	0	0	0	0	21	1	0	20	0	4
WA-ml-ulb	23	38	2	0	36	0	2	1	0	1	0	53	0	5	48	0	0
WA-mlp-x-kurum-reg	16	1	1	0	0	0	5	1	0	4	0	18	0	0	18	0	0
WA-mmn-reg	7	2	2	0	0	0	0	0	0	0	0	11	1	0	10	0	0
WA-mpa-reg	18	16	3	1	12	0	0	0	0	0	0	16	0	0	16	0	0
WA-mr-udb	23	12	3	1	8	0	4	0	0	4	0	47	0	3	44	0	7
WA-mr-ulb	3	0	0	0	0	0	0	0	0	0	0	68	0	0	68	0	0
WA-msh-udb	13	14	2	1	11	0	19	0	0	19	0	33	1	2	30	0	0
WA-mve-reg	18	21	2	1	18	0	0	0	0	0	0	18	0	1	17	0	0
WA-mvw-reg	18	21	5	1	15	0	1	1	0	0	0	15	0	0	15	0	2
WA-my-ulb	4	16	2	0	14	0	10	0	0	10	0	215	0	2	213	0	2
WA-mzm-x-zing-reg	11	17	2	1	14	0	0	0	0	0	0	7	0	0	7	0	6
WA-nar-reg	27	34	5	1	28	0	7	1	0	6	0	27	0	1	26	0	3
WA-nbh-ulb	17	27	6	1	20	0	0	0	0	0	0	9	0	2	7	0	6
WA-ndc-x-chiducua-reg	19	32	4	1	27	0	1	1	0	0	0	36	1	4	31	0	4
WA-ne-udb	28	0	0	0	0	0	2	2	0	0	0	101	0	1	100	0	0
WA-ne-ulb	22	4	1	1	2	0	4	2	0	2	0	132	0	4	128	0	2
WA-nfd-reg	15	22	2	0	20	0	1	0	0	1	0	7	2	1	4	0	4
WA-ngo-reg	29	29	9	2	18	0	5	1	0	4	0	13	0	1	12	0	4
WA-ngp-ulb	11	8	3	0	5	0	0	0	0	0	0	24	0	0	24	0	2
WA-ngw-reg	17	31	3	0	28	0	3	1	0	2	0	31	0	6	25	0	2
WA-nih-reg	11	30	1	2	27	0	2	0	0	2	0	33	0	1	32	0	6
WA-nim-reg	16	36	5	0	31	0	4	2	0	2	0	21	0	0	21	0	6
WA-njd-reg	16	25	6	1	18	0	1	1	0	0	0	30	0	0	30	0	6
WA-nl-ulb	19	7	4	0	3	0	3	0	0	3	0	53	0	3	50	0	2
WA-nnq-reg	27	42	4	1	37	0	3	1	0	2	0	16	0	0	16	0	2
WA-now-reg	34	32	4	0	28	0	2	1	0	1	0	18	0	3	15	0	10
WA-nue-reg	9	21	3	0	18	0	1	0	0	1	0	35	1	2	32	0	0
WA-nww-reg	18	31	4	1	26	0	0	0	0	0	0	18	0	1	17	0	4
WA-nxi-reg	17	32	3	0	29	0	1	0	0	1	0	12	0	0	12	0	2
WA-nyf-x-kambe-reg	12	1	1	0	0	0	0	0	0	0	0	22	1	1	20	0	0
WA-nyf-x-rabai-reg	3	0	0	0	0	0	0	0	0	0	0	17	0	0	17	0	0
WA-nyf-x-ribe-reg	3	3	0	0	3	0	0	0	0	0	0	16	0	0	16	0	0
WA-nyg-reg	22	22	4	0	18	0	2	0	0	2	0	40	1	3	36	0	0
WA-nyj-reg	8	13	0	0	13	0	1	1	0	0	0	1	0	0	1	0	0
WA-nym-x-nyikungu-reg	23	49	4	1	44	0	3	1	0	2	0	20	0	1	19	0	4
WA-nyn-x-runyaruguru-reg	5	0	0	0	0	0	1	0	0	1	0	4	0	0	4	0	0
WA-old-x-ngasa-reg	24	38	6	1	31	0	0	0	0	0	0	18	0	2	16	0	8
WA-omt-reg	20	52	4	3	45	0	3	0	0	3	0	8	0	0	8	0	2
WA-or-udb	21	26	0	0	26	0	2	1	0	1	0	39	2	1	36	0	0
WA-or-ulb	17	3	1	0	2	0	23	0	0	23	0	176	0	6	170	0	2
WA-orz-x-rarankwa-reg	41	24	6	0	18	0	3	3	0	0	0	17	1	2	14	0	2
WA-pa-ulb	9	1	1	0	0	0	21	1	0	20	0	46	1	2	43	0	0
WA-pbn-reg	23	22	2	0	20	0	0	0	0	0	0	8	2	1	5	0	4
WA-pcn-x-ribang-reg	19	29	1	1	27	0	2	2	0	0	0	13	1	4	8	0	2
WA-plt-ulb	28	39	3	1	35	0	37	0	0	37	0	65	2	2	61	0	0
WA-pse-x-riauasli-reg	19	28	4	1	23	0	6	0	0	6	0	46	0	2	44	0	2
WA-pt-br-ulb	15	1	1	0	0	0	18	0	0	18	0	50	1	1	48	0	0
WA-ret-reg	15	9	2	0	7	0	0	0	0	0	0	33	1	0	32	0	0
WA-rim-reg	21	34	5	0	29	0	1	1	0	0	0	25	0	1	24	0	4
WA-rmn-BG-horohane-reg	14	27	2	0	25	0	7	2	0	5	0	14	0	3	11	0	3
WA-rmn-x-lahoirom-reg	13	37	2	0	35	0	29	2	0	27	0	34	1	4	29	0	0
WA-rmn-x-yerliroman-reg	11	2	0	0	2	0	3	2	0	1	0	8	1	3	4	0	0
WA-rof-reg	15	47	1	0	46	0	5	0	0	5	0	23	0	2	21	0	4
WA-ruf-reg	24	30	3	3	24	0	1	1	0	0	0	17	0	1	16	0	4
WA-sah-reg	26	13	4	1	8	0	2	2	0	0	0	20	0	0	20	0	0
WA-sbk-reg	13	14	3	0	11	0	1	0	0	1	0	22	0	1	21	0	0
WA-sbm-reg	21	36	4	1	31	0	0	0	0	0	0	16	0	0	16	0	6
WA-sbp-reg	23	44	3	1	40	0	2	1	0	1	0	33	0	2	31	0	0
WA-scg-x-mayau-reg	18	44	3	3	38	0	4	0	0	4	0	14	0	0	14	0	4
WA-sde-ulb	21	21	7	0	14	0	1	1	0	0	0	22	0	1	21	0	8
WA-skg-x-vezo-udb	11	8	3	0	5	0	0	0	0	0	0	11	0	0	11	0	4
WA-skv-reg	11	40	1	0	39	0	5	0	0	5	0	23	0	2	21	0	2
WA-sob-reg	11	22	6	1	15	0	1	1	0	0	0	14	0	1	13	0	0
WA-soz-reg	18	23	2	1	20	0	9	4	0	5	0	42	0	4	38	0	4
WA-spy-x-kony-reg	10	27	3	1	23	0	0	0	0	0	0	24	0	0	24	0	0
WA-spy-x-subiny-reg	16	36	4	2	30	0	5	1	0	4	0	25	0	3	22	0	0
WA-ss-reg	19	19	3	0	16	0	2	1	0	1	0	28	0	2	26	0	6
WA-ssc-x-kiroba-reg	15	29	7	2	20	0	1	0	0	1	0	7	0	0	7	0	2
WA-ssn-x-sanye-reg	10	1	0	0	1	0	0	0	0	0	0	7	0	1	6	0	0
WA-suj-reg	5	7	3	0	4	0	0	0	0	0	0	7	0	0	7	0	2
WA-suw-reg	19	19	4	1	14	0	0	0	0	0	0	16	0	0	16	0	0
WA-svr-reg	13	22	2	0	20	0	6	1	0	5	0	1	0	1	0	0	0
WA-sw-ulb	26	9	2	0	7	0	3	1	0	2	0	14	0	1	13	0	0
WA-swr-reg	22	27	8	1	18	0	2	1	0	1	0	23	0	2	21	0	2
WA-ta-ulb	9	8	3	0	5	0	0	0	0	0	0	6	0	0	6	0	0
WA-tap-TZ-taabwa-reg	24	25	6	2	17	0	0	0	0	0	0	9	0	4	5	0	5
WA-tdx-x-mahafaly-reg	13	20	0	1	19	0	3	0	0	3	0	39	0	2	37	0	2
WA-te-ulb	24	8	0	1	7	0	38	0	0	38	0	78	0	4	74	0	2
WA-tel-x-gusavu-reg	8	20	1	0	19	0	8	1	0	7	0	6	1	3	2	0	0
WA-tel-x-kovi-reg	36	19	1	0	18	0	0	0	0	0	0	21	0	4	17	0	2
WA-tel-x-onda-reg	48	27	4	1	22	0	0	0	0	0	0	43	0	1	42	0	4
WA-tel-x-orku-reg	9	5	2	0	3	0	0	0	0	0	0	10	0	0	10	0	0
WA-tel-x-osti-reg	12	7	2	0	5	0	0	0	0	0	0	5	0	0	5	0	0
WA-tel-x-otiya-reg	18	11	4	0	7	0	0	0	0	0	0	25	0	3	22	0	0
WA-tel-x-piya-reg	32	16	3	1	12	0	0	0	0	0	0	69	0	0	69	0	6
WA-tel-x-pusala-reg	16	20	2	1	17	0	12	1	0	11	0	52	0	2	50	0	3
WA-th-ulb	17	0	0	0	0	0	1	1	0	0	0	13	0	3	10	0	0
WA-tkg-reg	18	31	1	0	30	0	5	2	0	3	0	32	0	3	29	0	0
WA-tl-udb	25	16	1	1	14	0	0	0	0	0	0	46	0	0	46	0	6
WA-tl-ulb	30	32	3	0	29	0	9	0	0	9	0	17	1	1	15	0	6
WA-tnw-reg	18	31	3	0	28	0	15	0	0	15	0	50	0	0	50	0	5
WA-tpi-ulb	32	36	1	3	32	0	22	1	0	21	0	69	0	2	67	0	2
WA-txy-reg	20	24	4	2	18	0	16	1	0	15	0	37	0	0	37	0	2
WA-ukv-reg	23	6	2	0	4	0	6	1	0	5	0	15	2	0	13	0	0
WA-ur-deva-ulb	31	98	6	1	91	0	56	3	0	53	0	43	0	1	42	0	0
WA-uz-reg	21	1	1	0	0	0	0	0	0	0	0	39	0	1	38	0	0
WA-vi-udb	17	7	2	0	5	0	2	2	0	0	0	40	0	3	37	0	4
WA-vi-ulb	29	2	2	0	0	0	11	1	0	10	0	157	1	1	155	0	0
WA-vid-reg	16	34	4	0	30	0	6	1	0	5	0	3	0	0	3	0	9
WA-vin-reg	15	38	3	0	35	0	1	1	0	0	0	9	0	2	7	0	0
WA-vmw-x-nahara-reg	17	26	3	0	23	0	3	0	0	3	0	19	0	2	17	0	0
WA-vun-reg	13	30	5	0	25	0	4	0	0	4	0	18	0	1	17	0	2
WA-wbf-reg	16	49	3	0	46	0	34	0	0	34	0	16	0	3	13	0	2
WA-wbi-reg	13	8	3	1	4	0	1	1	0	0	0	27	0	1	26	0	2
WA-wbj-reg	14	10	4	0	6	0	0	0	0	0	0	16	0	2	14	0	0
WA-wbq-x-kusburva-reg	20	10	2	0	8	0	3	3	0	0	0	12	0	6	6	0	0
WA-wci-reg	31	27	1	1	25	0	10	1	0	9	0	13	0	5	8	0	0
WA-wnk-reg	20	25	3	0	22	0	2	1	0	1	0	20	1	2	17	0	4
WA-wud-reg	17	23	4	2	17	0	1	1	0	0	0	11	0	2	9	0	2
WA-xem-x-hibun-reg	22	56	2	3	51	0	11	1	0	10	0	41	0	3	38	0	7
WA-xkd-reg	14	12	1	3	8	0	0	0	0	0	0	17	0	1	16	0	0
WA-xsj-reg	28	33	8	0	25	0	8	2	0	6	0	17	0	2	15	0	4
WA-xwg-reg	15	15	2	0	13	0	1	1	0	0	0	66	0	2	64	0	6
WA-ybj-reg	24	21	4	1	16	0	1	0	0	1	0	11	0	1	10	0	4
WA-yun-ulb	16	27	1	1	25	0	3	1	0	2	0	19	0	2	17	0	2
WA-zaj-reg	21	37	7	0	30	0	3	3	0	0	0	14	0	2	12	0	0
WA-zga-reg	16	21	3	3	15	0	0	0	0	0	0	5	0	1	4	0	4
WA-zga-x-mahanji-reg	10	9	3	1	5	0	0	0	0	0	0	28	0	0	28	0	0
WA-ziw-reg	16	10	0	0	10	0	0	0	0	0	0	1	0	0	1	0	0
WA-zlm-x-sandai-reg	18	46	4	1	41	0	1	0	0	1	0	33	0	5	28	0	4
WA-zmb-x-kwange-reg	27	43	5	0	38	0	3	3	0	0	0	19	0	5	14	0	7
WA-zms-reg	19	28	5	0	23	0	5	3	0	2	0	23	1	3	19	0	4
aai	4	0	0	0	0	0	0	0	0	0	0	19	0	0	19	0	0
aak	3	0	0	0	0	0	0	0	0	0	0	22	0	0	22	0	0
aau	9	0	0	0	0	0	4	0	0	4	0	6	0	1	5	0	0
aaz	8	0	0	0	0	0	0	0	0	0	0	21	0	0	21	0	0
abc	11	0	0	0	0	0	0	0	0	0	0	17	0	0	17	0	0
abt-maprik	6	0	0	0	0	0	1	0	0	1	0	22	0	0	22	0	0
abt-wosera	4	0	0	0	0	0	1	0	0	1	0	4	0	0	4	0	0
abx	4	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0
aby	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acfNT	5	0	0	0	0	0	15	0	0	15	0	18	0	0	18	0	0
acr-acc	7	0	0	0	0	0	0	0	0	0	0	20	0	0	20	0	0
acrNNT	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
acrTNT	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
acuNT	8	1	0	0	1	0	0	0	0	0	0	4	0	2	2	0	0
adz	3	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0
aer	4	0	0	0	0	0	0	0	0	0	0	18	0	0	18	0	0
aey	10	0	0	0	0	0	10	0	0	10	0	6	0	0	6	0	0
agd	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
agg	13	1	0	1	0	0	1	1	0	0	0	11	0	0	11	0	0
agm	1	2	0	0	2	0	0	0	0	0	0	1	0	0	1	0	2
agn	6	1	1	0	0	0	0	0	0	0	0	17	0	0	17	0	0
agr	9	8	1	0	7	0	0	0	0	0	0	13	0	2	11	0	0
agt	8	5	0	3	2	0	6	0	0	6	0	9	0	0	9	0	0
aguBl	4	2	0	0	2	0	0	0	0	0	0	6	0	0	6	0	2
ahr	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0
aia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aii	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
akeNT	8	1	1	0	0	0	2	0	0	2	0	16	0	1	15	0	0
alpNT	1	1	0	0	1	0	9	0	0	9	0	46	0	0	46	0	0
alqALGNT	2	0	0	0	0	0	4	0	0	4	0	7	0	0	7	0	0
alw	10	1	1	0	0	0	4	0	0	4	0	27	0	0	27	0	0
aly	2	0	0	0	0	0	0	0	0	0	0	19	0	0	19	0	0
ameNT	3	1	0	0	1	0	0	0	0	0	0	17	0	0	17	0	0
amf	5	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0
amh	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
amk	13	0	0	0	0	0	6	0	0	6	0	3	0	0	3	0	0
amm	11	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0
amn-amanab	8	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0
amn-n	8	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0
amo	12	7	2	1	4	0	4	4	0	0	0	18	1	2	15	0	2
amp	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amrNT	4	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0
amuNT	5	4	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0
amx	10	0	0	0	0	0	0	0	0	0	0	7	0	1	6	0	0
anh	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anvNT	4	0	0	0	0	0	0	0	0	0	0	11	0	1	10	0	0
aoi	5	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0
aoj	7	1	1	0	0	0	0	0	0	0	0	10	0	0	10	0	0
aoj-filifita	9	1	1	0	0	0	11	0	0	11	0	3	0	0	3	0	0
aom	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aon	6	0	0	0	0	0	3	0	0	3	0	12	0	0	12	0	0
apb	4	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0
apeB	4	0	0	0	0	0	7	0	0	7	0	23	0	0	23	0	0
apec	8	0	0	0	0	0	3	0	0	3	0	33	0	2	31	0	0
apnNT	6	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0
apr	2	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0
apuNT	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apwNT	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apz	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0
aqk	8	2	1	1	0	0	0	0	0	0	0	16	0	1	15	0	0
arb-vd	12	12	1	0	11	0	0	0	0	0	0	29	0	6	23	0	0
arbnav	7	0	0	0	0	0	0	0	0	0	0	20	1	1	18	0	0
are	4	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0
arlNT	6	8	2	0	6	0	0	0	0	0	0	4	0	0	4	0	0
arnNT	8	3	0	0	3	0	2	2	0	0	0	5	1	2	2	0	1
arp	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asg	8	1	1	0	0	0	18	1	0	17	0	43	0	2	41	0	0
asj	2	0	0	0	0	0	7	0	0	7	0	0	0	0	0	0	0
asmfb	30	18	8	0	10	0	0	0	0	0	0	115	0	6	109	0	4
aso	2	1	0	0	1	0	5	0	0	5	0	2	0	2	0	0	0
ata	9	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0
atbNT	1	0	0	0	0	0	0	0	0	0	0	28	0	0	28	0	0
atdNT	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
atgNT	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	0	0
att	3	0	0	0	0	0	0	0	0	0	0	14	0	0	14	0	0
aucNT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aui	5	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0
auy	4	0	0	0	0	0	3	3	0	0	0	18	0	0	18	0	0
avt	8	2	0	0	2	0	4	0	0	4	0	16	0	0	16	0	0
awb	3	0	0	0	0	0	1	0	0	1	0	3	0	0	3	0	0
awk	6	2	0	0	2	0	0	0	0	0	0	24	0	0	24	0	0
awx	6	0	0	0	0	0	0	0	0	0	0	20	0	1	19	0	0
azb	7	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0
azgNT	9	1	1	0	0	0	0	0	0	0	0	9	0	4	5	0	0
azzNT	8	2	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0
baoNT	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
bba	2	0	0	0	0	0	17	0	0	17	0	30	0	0	30	0	0
bbb	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
bbr	8	3	2	1	0	0	14	0	0	14	0	14	0	0	14	0	0
bbr2013	8	3	2	1	0	0	14	0	0	14	0	14	0	0	14	0	0
bch	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0
bco	2	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0
bdd	2	6	0	0	6	0	0	0	0	0	0	12	0	0	12	0	0
bdv	2	0	0	0	0	0	0	0	0	0	0	8	0	1	7	0	0
bea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bef	4	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0
bel	6	4	1	0	3	0	0	0	0	0	0	21	1	2	18	0	2
beln	15	2	2	0	0	0	0	0	0	0	0	45	0	4	41	0	0
benirv	13	17	2	1	14	0	0	0	0	0	0	16	0	1	15	0	8
benobcv	12	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0
beo	22	49	3	0	46	0	22	0	0	22	0	166	0	1	165	0	6
beu	4	1	1	0	0	0	0	0	0	0	0	3	0	0	3	0	0
bfz	6	3	2	0	1	0	0	0	0	0	0	22	0	0	22	0	0
bgc	2	13	0	0	13	0	0	0	0	0	0	15	0	0	15	0	2
bgg	15	0	0	0	0	0	12	0	0	12	0	17	0	3	14	0	0
bgs	3	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0
bgt	5	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0
bhd	1	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0
bhg	15	0	0	0	0	0	0	0	0	0	0	13	0	0	13	0	0
bhi	8	0	0	0	0	0	0	0	0	0	0	27	0	1	26	0	0
bhl	6	5	0	0	5	0	0	0	0	0	0	18	0	0	18	0	0
bht	6	2	2	0	0	0	0	0	0	0	0	10	0	3	7	0	0
bhu	5	0	0	0	0	0	0	0	0	0	0	9	0	2	7	0	0
big	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
big2013	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bjk	1	1	0	0	1	0	0	0	0	0	0	11	0	0	11	0	0
bjp	3	0	0	0	0	0	0	0	0	0	0	12	0	0	12	0	0
bjr	8	0	0	0	0	0	15	0	0	15	0	4	0	2	2	0	0
bjvNT	5	7	0	0	7	0	10	0	0	10	0	22	0	0	22	0	0
bjz	4	0	0	0	0	0	0	0	0	0	0	29	0	0	29	0	0
bkd	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0
bki	6	6	0	0	6	0	0	0	0	0	0	9	0	0	9	0	0
bkqNT	4	0	0	0	0	0	4	0	0	4	0	4	0	0	4	0	0
bkw	8	0	0	0	0	0	15	0	0	15	0	19	0	0	19	0	0
bkx	5	0	0	0	0	0	0	0	0	0	0	16	0	1	15	0	0
bla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blw	6	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
blzNT	6	0	0	0	0	0	15	1	0	14	0	2	0	0	2	0	0
bmh	1	0	0	0	0	0	15	0	0	15	0	16	0	0	16	0	0
bmk	7	13	0	0	13	0	0	0	0	0	0	18	0	1	17	0	0
bmrNT	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
bmu	15	0	0	0	0	0	2	0	0	2	0	25	1	0	24	0	0
bnp	17	0	0	0	0	0	9	1	0	8	0	10	0	1	9	0	0
boaNT	6	2	0	0	2	0	0	0	0	0	0	8	0	0	8	0	0
bodn	4	0	0	0	0	0	4	2	0	2	0	278	0	0	278	0	0
boj	8	0	0	0	0	0	0	0	0	0	0	28	0	0	28	0	0
boj2014	8	0	0	0	0	0	0	0	0	0	0	28	0	0	28	0	0
bon	10	0	0	0	0	0	1	1	0	0	0	12	0	0	12	0	0
bou	6	6	2	0	4	0	0	0	0	0	0	14	0	0	14	0	4
boxNT	3	0	0	0	0	0	2	1	0	1	0	1	0	0	1	0	0
bpr	3	0	0	0	0	0	0	0	0	0	0	7	0	1	6	0	0
bps	3	0	0	0	0	0	3	0	0	3	0	10	0	0	10	0	0
bpx	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0
bqcsim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bqp	4	26	0	0	26	0	0	0	0	0	0	1	0	0	1	0	2
breBRG	8	4	1	0	3	0	3	3	0	0	0	5	0	2	3	0	0
bsj	16	19	2	0	17	0	1	0	0	1	0	11	0	0	11	0	0
bsnNT	2	0	0	0	0	0	0	0	0	0	0	22	0	0	22	0	0
bsp	8	2	0	0	2	0	0	0	0	0	0	19	0	3	16	0	2
bssNT	4	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0
bswe	4	5	2	0	3	0	5	0	0	5	0	13	0	0	13	0	0
bswl	4	5	2	0	3	0	4	0	0	4	0	29	0	0	29	0	0
buj	9	17	0	0	17	0	6	1	0	5	0	22	0	3	19	0	0
buk	1	0	0	0	0	0	8	0	0	8	0	18	0	0	18	0	0
bus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
