# nonletter fleet survey
corpora=1504
corpora with zero candidates (excluded from rate stats)=0
eligible corpora=1504
`<range>` placeholder lines are dropped by the vref reader before a Corpus exists, so they never enter any denominator here.

## equal-corpus opportunity distributions (one value per corpus)
metric	p50	p90	p99
total_graphemes	1291670	3737695	5341761
candidate_occurrences	39144	135917	315580
distinct_glyphs	23	30	37
hygiene_graphemes	0	0	468
baseless_marks	0	0	1
retained_bytes	323414	1108511	2544392
retained_bytes_per_chapter	1103	2529	5934

## per-channel finding counts per corpus (floor 0.50) — equal-corpus
channel	p50	p90	p99	fleet_total	corpora_firing
absolute_rarity	3	14	26	7939	1104
placement	7	16	30	11892	1426
sequence	2	8	18	4603	1071
max(composed)	13	33	56	24334	1484

## channel abstention share of candidate occurrences (equal-corpus median)
channel	p50_share	p90_share
absolute_rarity	0.0000	0.0000
placement	0.0069	0.0261
sequence	0.9447	0.9943

## composed-score counts by emission floor (Review Depth anchor evidence)
floor	p50	p90	p99	fleet_total
0.50	13	33	56	24334
0.75	8	21	37	15326
0.90	4	14	27	9160

## small (<8000 verses) vs mature corpora
small	corpora=1104	candidates_p50=33418	hits_p50=12	hits_p90=31	rarity_abstain_p50=0.0000
mature	corpora=400	candidates_p50=116334	hits_p50=16	hits_p90=36	rarity_abstain_p50=0.0000

## corpus-weighted tail — the 20 corpora with the most composed hits
id	verses	candidates	distinct	rarity	placement	sequence	max	per_10k_cand
WA-am-ulb	31079	110308	49	22	43	24	89	8.07
portft	7896	54282	39	21	44	23	88	16.21
WA-lo-ulb	31081	137459	34	15	29	31	75	5.46
WA-mhi-x-burolo-reg	7626	48964	33	27	34	13	74	15.11
WA-tel-x-onda-reg	4022	48314	32	6	52	16	74	15.32
WA-dso-ulb	7928	29534	44	17	34	20	71	24.04
WA-tel-x-kovi-reg	3898	33456	34	13	47	10	70	20.92
WA-byn-reg	7582	33546	33	26	25	14	65	19.38
WA-dje-reg	7954	26905	37	28	18	19	65	24.16
WA-tel-x-piya-reg	4015	54530	39	4	44	17	65	11.92
WA-ilo-udb	30799	141552	33	21	28	15	64	4.52
WA-lel-reg	7941	54281	31	6	37	22	64	11.79
WA-omt-reg	7927	42179	35	24	26	10	60	14.23
WA-gaz-ulb	7935	38087	36	17	31	10	58	15.23
WA-es-419-ulb	31100	130570	33	10	24	23	57	4.37
WA-tpi-ulb	31085	115163	33	24	17	15	56	4.86
WA-wci-reg	7955	20742	25	14	38	4	56	27.00
etr	4201	19840	12	49	7	0	56	28.23
WA-ha-ulb	31098	137921	34	17	16	23	55	3.99
WA-mr-udb	7899	31638	24	5	43	7	55	17.38

## decision 5 — rarity numerator basis, composed volume at the adjudicated depth floors
ADOPTED = (d) runs + pooled Nd | (d) runs, digits unpooled = FLAG 3's before | raw occurrences = decision 5's before | (a) occurrences + + continuation support floor 2
variant	depth0(.90)_p50	depth50(.75)_p50	depth100(.50)_p50	fleet@.90	fleet@.75	fleet@.50
ADOPTED: (d) runs + pooled Nd	4	8	13	9160	15326	24334
(d) runs, digits UNPOOLED	5	10	17	10115	18800	31534
raw occurrences	5	9	16	9642	17340	28729
(a) occ + cont floor 2	5	9	16	9824	17646	29086

## decision 8 — default-on volume check
(the two RETIRED default-on rules' per-corpus counts vs this rule at the adjudicated depth-50 floor 0.75)
series	p50	p90	p99	fleet_total
retired default-on pair (adjacency + punct-only)	3	27	75	13835
uni.nonletter-usage-anomaly at depth 50	8	21	37	15326
p50 ratio new/retired = 2.67 (mediator's flag threshold: > 2.00)

## absolute rarity sweep (equal-corpus per-corpus counts)
knee_k/min_exposure	p50@.50	p90@.50	p99@.50	fleet@.50	p90@.90	fleet@.90
k=2/exp>=0	1	6	13	3466	3	1758
k=2/exp>=2000	1	6	13	3466	3	1758
k=4/exp>=2000	2	9	16	5079	3	1758
k=8/exp>=0	3	14	26	7944	3	1758
k=8/exp>=2000	3	14	26	7939	3	1758
k=8/exp>=10000	3	13	26	7584	3	1700
k=16/exp>=2000	7	24	48	15061	6	3466
k=32/exp>=2000	15	47	91	31094	12	6565

## placement sweep (equal-corpus per-corpus counts)
min_pool/knee_k	p50@.50	p90@.50	p99@.50	fleet@.50	p90@.90	fleet@.90
pool>=10/k=4	4	9	19	6884	5	3452
pool>=30/k=4	3	8	15	5720	4	2852
pool>=30/k=8	7	16	30	11892	4	2852
pool>=30/k=16	14	30	55	23297	8	5361
pool>=100/k=8	5	14	24	9820	3	2246
pool>=100/k=16	11	25	49	19639	7	4566
pool>=300/k=16	8	21	39	15400	5	3546

## sequence (pairs + continuation) sweep (equal-corpus per-corpus counts)
keying/denominator/min_leads/knee_k	p50@.50	p90@.50	p99@.50	fleet@.50	p90@.90	fleet@.90
exact/all-lead/leads>=30/k=8	34	126	195	73797	27	18833
exact/leads-run/leads>=30/k=8	20	107	169	54783	21	12797
pool#/all-lead/leads>=30/k=8	21	58	96	41161	17	11351
pool#/leads-run/leads>=30/k=2	3	12	22	7198	12	7198
pool#/leads-run/leads>=30/k=8	11	45	77	26905	12	7198
pool#/leads-run/leads>=100/k=8	6	29	58	16107	8	4603
pool#/leads-run/leads>=300/k=8	3	18	39	9622	5	2759
pool#/leads-run/leads>=300/k=32	10	52	127	29890	17	8715

## composed hits by candidate class (fleet totals, floor 0.50)
class	occurrences	hits	hits_per_10k_occ
digit(Nd)	1218852	2761	22.65
numeral(No/Nl)	3101579	108	0.35
quote	19236962	4637	2.41
punct	70518271	15735	2.23
symbol	1209874	921	7.61
other	607049	172	2.83

## four-state topology distribution over all candidate occurrences
state	fleet_count	share
Neither	6081222	0.06342
StartOnly	65394296	0.68195
EndOnly	6260122	0.06528
Both	17142286	0.17877
(no topology: run-interior)	1014661	0.01058

## four-state topology restricted to the QUOTE class (the direction-ambiguous case the state exists for)
state	fleet_count	share_of_quote_occurrences
Neither	2771353	0.14406
StartOnly	3474397	0.18061
