corpus	words	glyph	glyph_char	count	per1k	OPEN	CLOSE	MIDWORD	ISOLATED
stitched__byn_reg	104789	DQUOTE_STRAIGHT	"	1	0.010	0	1	0	0
stitched__byn_reg	104789	LSQUO	‘	3	0.029	3	0	0	0
stitched__byn_reg	104789	RSQUO	’	5	0.048	0	4	1	0
stitched__byn_reg	104789	LDQUO	“	719	6.861	712	0	0	7
stitched__byn_reg	104789	RDQUO	”	639	6.098	6	571	16	46
stitched__byn_reg	104789	LSAQUO	‹	6	0.057	2	0	0	4
stitched__byn_reg	104789	RSAQUO	›	7	0.067	0	2	0	5
stitched__byn_reg	104789	BACKTICK	`	1	0.010	0	0	0	1
stitched__coh-x-jibana_reg	142851	DQUOTE_STRAIGHT	"	1672	11.705	918	99	21	634
stitched__coh-x-jibana_reg	142851	APOS_STRAIGHT	'	5450	38.152	305	18	4563	564
stitched__coh-x-jibana_reg	142851	RSQUO	’	29	0.203	0	0	29	0
stitched__coh-x-jibana_reg	142851	LDQUO	“	507	3.549	503	1	1	2
stitched__coh-x-jibana_reg	142851	RDQUO	”	452	3.164	3	65	0	384
stitched__dav_reg	141400	DQUOTE_STRAIGHT	"	3266	23.098	1671	183	7	1405
stitched__dav_reg	141400	APOS_STRAIGHT	'	621	4.392	242	38	151	190
stitched__dav_reg	141400	BACKTICK	`	3	0.021	1	0	2	0
stitched__dgo-x-dogripun_reg	192990	DQUOTE_STRAIGHT	"	166	0.860	84	5	0	77
stitched__dgo-x-dogripun_reg	192990	APOS_STRAIGHT	'	249	1.290	154	4	33	58
stitched__dgo-x-dogripun_reg	192990	LSQUO	‘	339	1.757	336	0	0	3
stitched__dgo-x-dogripun_reg	192990	RSQUO	’	371	1.922	13	16	64	278
stitched__dgo-x-dogripun_reg	192990	LDQUO	“	1929	9.995	1731	0	0	198
stitched__dgo-x-dogripun_reg	192990	RDQUO	”	1643	8.513	107	19	0	1517
stitched__dig_reg	134554	DQUOTE_STRAIGHT	"	491	3.649	225	96	23	147
stitched__dig_reg	134554	APOS_STRAIGHT	'	5455	40.541	1085	370	1608	2392
stitched__doe_reg	141342	DQUOTE_STRAIGHT	"	1430	10.117	646	95	0	689
stitched__doe_reg	141342	APOS_STRAIGHT	'	4927	34.859	1454	115	163	3195
