corpus	words	glyph	glyph_char	count	per1k	OPEN	CLOSE	MIDWORD	ISOLATED
Tech_Advance__nyn-x-runyaruguru_reg	110100	BACKTICK	`	4	0.036	0	0	3	1
Tech_Advance__rmn-x-yerliroman_reg	150932	LSQUO	‘	2	0.013	2	0	0	0
Tech_Advance__rmn-x-yerliroman_reg	150932	RSQUO	’	2	0.013	0	1	0	1
Tech_Advance__rmn-x-yerliroman_reg	150932	LDQUO	“	291	1.928	290	0	0	1
Tech_Advance__rmn-x-yerliroman_reg	150932	RDQUO	”	306	2.027	0	40	0	266
Tech_Advance__sbk_reg	122423	DQUOTE_STRAIGHT	"	8	0.065	1	6	0	1
Tech_Advance__sbk_reg	122423	APOS_STRAIGHT	'	32	0.261	0	1	31	0
Tech_Advance__sbk_reg	122423	LSQUO	‘	210	1.715	207	0	0	3
Tech_Advance__sbk_reg	122423	RSQUO	’	266	2.173	0	23	0	243
Tech_Advance__sbk_reg	122423	LDQUO	“	1427	11.656	1421	0	0	6
Tech_Advance__sbk_reg	122423	RDQUO	”	1573	12.849	0	49	0	1524
Tech_Advance__sbk_reg	122423	BACKTICK	`	14	0.114	13	0	0	1
Tech_Advance__zga-x-mahanji_reg	135274	DQUOTE_STRAIGHT	"	3502	25.888	1766	116	0	1620
Tech_Advance__zga-x-mahanji_reg	135274	APOS_STRAIGHT	'	1746	12.907	268	27	1190	261
Tech_Advance__zga-x-mahanji_reg	135274	BACKTICK	`	7	0.052	4	0	1	2
WA-Catalog__am_ulb	446829	DQUOTE_STRAIGHT	"	3317	7.423	1658	783	42	834
WA-Catalog__am_ulb	446829	APOS_STRAIGHT	'	1159	2.594	637	316	8	198
WA-Catalog__am_ulb	446829	LSQUO	‘	307	0.687	307	0	0	0
WA-Catalog__am_ulb	446829	RSQUO	’	289	0.647	8	188	2	91
WA-Catalog__am_ulb	446829	LDQUO	“	2299	5.145	2176	64	1	58
WA-Catalog__am_ulb	446829	RDQUO	”	2228	4.986	109	976	11	1132
WA-Catalog__am_ulb	446829	LAQUO	«	985	2.204	969	0	14	2
WA-Catalog__am_ulb	446829	RAQUO	»	957	2.142	0	530	6	421
WA-Catalog__am_ulb	446829	LSAQUO	‹	305	0.683	190	0	0	115
WA-Catalog__am_ulb	446829	RSAQUO	›	285	0.638	0	93	1	191
WA-Catalog__am_ulb	446829	BACKTICK	`	2	0.004	0	0	0	2
WA-Catalog__as_ulb	572118	APOS_STRAIGHT	'	11	0.019	0	0	11	0
WA-Catalog__as_ulb	572118	LSQUO	‘	1190	2.080	1188	0	0	2
WA-Catalog__as_ulb	572118	RSQUO	’	11442	19.999	26	311	10331	774
WA-Catalog__as_ulb	572118	LDQUO	“	5583	9.758	5578	0	0	5
WA-Catalog__as_ulb	572118	RDQUO	”	5244	9.166	0	187	0	5057
WA-Catalog__ceb_ulb	833764	DQUOTE_STRAIGHT	"	11546	13.848	5846	103	0	5597
WA-Catalog__ceb_ulb	833764	APOS_STRAIGHT	'	3392	4.068	1537	93	39	1723
WA-Catalog__ceb_ulb	833764	LSQUO	‘	6	0.007	6	0	0	0
WA-Catalog__ceb_ulb	833764	RSQUO	’	6	0.007	0	0	0	6
WA-Catalog__ceb_ulb	833764	LDQUO	“	19	0.023	19	0	0	0
WA-Catalog__ceb_ulb	833764	RDQUO	”	19	0.023	0	1	0	18
WA-Catalog__ceb_ulb	833764	BACKTICK	`	1	0.001	0	0	0	1
WA-Catalog__es-419_udb	262878	DQUOTE_STRAIGHT	"	3948	15.018	1237	165	0	2546
WA-Catalog__es-419_udb	262878	APOS_STRAIGHT	'	720	2.739	235	57	0	428
WA-Catalog__es-419_ulb	770648	DQUOTE_STRAIGHT	"	11583	15.030	4640	436	1	6506
WA-Catalog__es-419_ulb	770648	APOS_STRAIGHT	'	3258	4.228	1238	183	0	1837
WA-Catalog__es-419_ulb	770648	LSQUO	‘	3	0.004	2	0	0	1
WA-Catalog__es-419_ulb	770648	RSQUO	’	6	0.008	0	6	0	0
WA-Catalog__es-419_ulb	770648	LDQUO	“	1	0.001	1	0	0	0
WA-Catalog__es-419_ulb	770648	RDQUO	”	7	0.009	0	3	0	4
WA-Catalog__fr_ulb	179696	DQUOTE_STRAIGHT	"	413	2.298	181	41	1	190
WA-Catalog__fr_ulb	179696	APOS_STRAIGHT	'	8521	47.419	87	178	8024	232
WA-Catalog__fr_ulb	179696	RSQUO	’	710	3.951	1	5	704	0
WA-Catalog__fr_ulb	179696	LDQUO	“	5	0.028	3	0	0	2
WA-Catalog__fr_ulb	179696	RDQUO	”	18	0.100	0	4	0	14
WA-Catalog__fr_ulb	179696	DQUO_REV	‟	10	0.056	1	0	0	9
WA-Catalog__fr_ulb	179696	LAQUO	«	1943	10.813	1615	0	0	328
WA-Catalog__fr_ulb	179696	RAQUO	»	1913	10.646	3	122	0	1788
WA-Catalog__gu_ulb	574950	DQUOTE_STRAIGHT	"	7107	12.361	3682	31	0	3394
WA-Catalog__gu_ulb	574950	APOS_STRAIGHT	'	2121	3.689	935	29	0	1157
WA-Catalog__gu_ulb	574950	LSQUO	‘	1515	2.635	1515	0	0	0
WA-Catalog__gu_ulb	574950	RSQUO	’	1462	2.543	0	24	0	1438
WA-Catalog__gu_ulb	574950	LDQUO	“	440	0.765	440	0	0	0
WA-Catalog__gu_ulb	574950	RDQUO	”	1522	2.647	0	4	0	1518
WA-Catalog__ha_ulb	724352	DQUOTE_STRAIGHT	"	11483	15.853	5752	329	10	5392
WA-Catalog__ha_ulb	724352	APOS_STRAIGHT	'	19634	27.106	4454	121	13803	1256
WA-Catalog__ha_ulb	724352	RDQUO	”	1	0.001	0	0	0	1
WA-Catalog__ha_ulb	724352	BACKTICK	`	4	0.006	0	1	0	3
WA-Catalog__hi_udb	871438	DQUOTE_STRAIGHT	"	7679	8.812	3752	71	0	3856
WA-Catalog__hi_udb	871438	APOS_STRAIGHT	'	1128	1.294	544	15	0	569
WA-Catalog__hi_udb	871438	LSQUO	‘	578	0.663	548	0	0	30
WA-Catalog__hi_udb	871438	RSQUO	’	337	0.387	0	10	0	327
WA-Catalog__hi_udb	871438	LDQUO	“	1836	2.107	1732	0	0	104
WA-Catalog__hi_udb	871438	RDQUO	”	1173	1.346	7	21	0	1145
WA-Catalog__hi_ulb	722051	LSQUO	‘	1049	1.453	1049	0	0	0
WA-Catalog__hi_ulb	722051	RSQUO	’	997	1.381	1	34	0	962
WA-Catalog__hi_ulb	722051	LDQUO	“	6496	8.997	6485	0	0	11
WA-Catalog__hi_ulb	722051	RDQUO	”	5242	7.260	0	7	0	5235
WA-Catalog__ilo_udb	932918	DQUOTE_STRAIGHT	"	11536	12.366	5890	92	0	5554
WA-Catalog__ilo_udb	932918	APOS_STRAIGHT	'	2531	2.713	1245	70	19	1197
WA-Catalog__ilo_udb	932918	LSQUO	‘	81	0.087	80	0	0	1
WA-Catalog__ilo_udb	932918	RSQUO	’	81	0.087	1	2	5	73
WA-Catalog__ilo_udb	932918	LDQUO	“	247	0.265	243	0	0	4
WA-Catalog__ilo_udb	932918	RDQUO	”	262	0.281	0	6	0	256
WA-Catalog__ilo_udb	932918	BACKTICK	`	1	0.001	0	0	1	0
WA-Catalog__ilo_ulb	754205	DQUOTE_STRAIGHT	"	11557	15.323	5885	136	0	5536
WA-Catalog__ilo_ulb	754205	APOS_STRAIGHT	'	2915	3.865	1398	105	10	1402
WA-Catalog__ilo_ulb	754205	LSQUO	‘	77	0.102	77	0	0	0
WA-Catalog__ilo_ulb	754205	RSQUO	’	79	0.105	2	6	2	69
WA-Catalog__ilo_ulb	754205	LDQUO	“	103	0.137	103	0	0	0
WA-Catalog__ilo_ulb	754205	RDQUO	”	138	0.183	6	5	0	127
WA-Catalog__ilo_ulb	754205	BACKTICK	`	3	0.004	1	1	1	0
WA-Catalog__km_ulb	150112	DQUOTE_STRAIGHT	"	22	0.147	11	3	0	8
WA-Catalog__km_ulb	150112	LDQUO	“	7	0.047	7	0	0	0
WA-Catalog__km_ulb	150112	RDQUO	”	11	0.073	1	6	1	3
WA-Catalog__km_ulb	150112	LAQUO	«	6657	44.347	6590	1	0	66
WA-Catalog__km_ulb	150112	RAQUO	»	6098	40.623	2	2775	0	3321
WA-Catalog__kn_ulb	355711	DQUOTE_STRAIGHT	"	4	0.011	1	0	0	3
WA-Catalog__kn_ulb	355711	APOS_STRAIGHT	'	4	0.011	2	0	0	2
WA-Catalog__kn_ulb	355711	LSQUO	‘	26	0.073	26	0	0	0
WA-Catalog__kn_ulb	355711	RSQUO	’	26	0.073	0	5	0	21
WA-Catalog__kn_ulb	355711	LDQUO	“	8	0.022	8	0	0	0
WA-Catalog__kn_ulb	355711	RDQUO	”	7	0.020	0	0	0	7
WA-Catalog__kn_ulb	355711	DIGRAPH_OPEN	<<	5747	16.156	0	0	0	0
WA-Catalog__kn_ulb	355711	DIGRAPH_CLOSE	>>	4657	13.092	0	0	0	0
WA-Catalog__lo_ulb	145795	DQUOTE_STRAIGHT	"	6615	45.372	3198	181	14	3222
WA-Catalog__lo_ulb	145795	APOS_STRAIGHT	'	1248	8.560	567	96	3	582
WA-Catalog__lo_ulb	145795	LSQUO	‘	626	4.294	611	0	9	6
WA-Catalog__lo_ulb	145795	RSQUO	’	573	3.930	5	169	1	398
WA-Catalog__lo_ulb	145795	LDQUO	“	2841	19.486	2569	123	33	116
WA-Catalog__lo_ulb	145795	RDQUO	”	2546	17.463	24	253	3	2266
WA-Catalog__lo_ulb	145795	BACKTICK	`	1	0.007	0	0	0	1
WA-Catalog__ml_ulb	382950	DQUOTE_STRAIGHT	"	11	0.029	7	2	0	2
WA-Catalog__ml_ulb	382950	APOS_STRAIGHT	'	6	0.016	1	0	0	5
WA-Catalog__ml_ulb	382950	LSQUO	‘	825	2.154	780	9	0	36
WA-Catalog__ml_ulb	382950	RSQUO	’	629	1.643	53	150	1	425
WA-Catalog__ml_ulb	382950	LDQUO	“	4806	12.550	4474	27	0	305
WA-Catalog__ml_ulb	382950	RDQUO	”	4186	10.931	297	729	15	3145
WA-Catalog__ml_ulb	382950	BACKTICK	`	518	1.353	3	3	0	512
WA-Catalog__mr_udb	218313	DQUOTE_STRAIGHT	"	7	0.032	4	0	0	3
WA-Catalog__mr_udb	218313	APOS_STRAIGHT	'	3	0.014	0	0	0	3
WA-Catalog__mr_udb	218313	LSQUO	‘	328	1.502	325	0	0	3
WA-Catalog__mr_udb	218313	RSQUO	’	317	1.452	4	19	1	293
WA-Catalog__mr_udb	218313	LDQUO	“	1868	8.557	1859	0	0	9
WA-Catalog__mr_udb	218313	RDQUO	”	1779	8.149	12	26	1	1740
WA-Catalog__mr_ulb	538661	LSQUO	‘	856	1.589	856	0	0	0
WA-Catalog__mr_ulb	538661	RSQUO	’	758	1.407	0	119	0	639
WA-Catalog__mr_ulb	538661	LDQUO	“	4876	9.052	4832	0	0	44
WA-Catalog__mr_ulb	538661	RDQUO	”	4583	8.508	0	88	0	4495
WA-Catalog__ne_udb	231270	DQUOTE_STRAIGHT	"	19	0.082	14	0	0	5
WA-Catalog__ne_udb	231270	APOS_STRAIGHT	'	2	0.009	1	0	0	1
WA-Catalog__ne_udb	231270	LSQUO	‘	360	1.557	349	1	0	10
WA-Catalog__ne_udb	231270	RSQUO	’	343	1.483	0	17	0	326
WA-Catalog__ne_udb	231270	LDQUO	“	2032	8.786	2025	0	0	7
WA-Catalog__ne_udb	231270	RDQUO	”	1978	8.553	0	31	0	1947
WA-Catalog__ne_ulb	632723	DQUOTE_STRAIGHT	"	4914	7.766	2578	34	0	2302
WA-Catalog__ne_ulb	632723	APOS_STRAIGHT	'	1617	2.556	837	101	0	679
WA-Catalog__ne_ulb	632723	LSQUO	‘	647	1.023	634	2	0	11
WA-Catalog__ne_ulb	632723	RSQUO	’	635	1.004	0	66	0	569
WA-Catalog__ne_ulb	632723	LDQUO	“	3304	5.222	3283	0	1	20
WA-Catalog__ne_ulb	632723	RDQUO	”	3372	5.329	1	76	0	3295
WA-Catalog__ne_ulb	632723	MODLETTER_APOS	ʼ	11	0.017	0	0	0	11
WA-Catalog__pa_ulb	815194	DQUOTE_STRAIGHT	"	1420	1.742	693	38	0	689
WA-Catalog__pa_ulb	815194	APOS_STRAIGHT	'	150	0.184	62	5	0	83
WA-Catalog__pa_ulb	815194	LSQUO	‘	14	0.017	14	0	0	0
WA-Catalog__pa_ulb	815194	RSQUO	’	14	0.017	0	0	0	14
WA-Catalog__pa_ulb	815194	LDQUO	“	613	0.752	612	0	0	1
WA-Catalog__pa_ulb	815194	RDQUO	”	608	0.746	0	23	0	585
WA-Catalog__plt_ulb	704784	DQUOTE_STRAIGHT	"	12043	17.088	6126	169	3	5745
WA-Catalog__plt_ulb	704784	APOS_STRAIGHT	'	78331	111.142	1341	431	75270	1289
WA-Catalog__plt_ulb	704784	RSQUO	’	16	0.023	0	0	16	0
WA-Catalog__pt-br_ulb	703909	DQUOTE_STRAIGHT	"	11250	15.982	5656	3851	0	1743
WA-Catalog__pt-br_ulb	703909	APOS_STRAIGHT	'	2946	4.185	1535	986	8	417
WA-Catalog__pt-br_ulb	703909	LSQUO	‘	20	0.028	20	0	0	0
WA-Catalog__pt-br_ulb	703909	RSQUO	’	28	0.040	1	20	0	7
WA-Catalog__pt-br_ulb	703909	LDQUO	“	307	0.436	307	0	0	0
WA-Catalog__pt-br_ulb	703909	RDQUO	”	285	0.405	0	189	0	96
WA-Catalog__sw_ulb	608156	DQUOTE_STRAIGHT	"	4	0.007	0	4	0	0
WA-Catalog__sw_ulb	608156	APOS_STRAIGHT	'	601	0.988	0	1	600	0
WA-Catalog__sw_ulb	608156	LSQUO	‘	1365	2.244	1357	0	0	8
WA-Catalog__sw_ulb	608156	RSQUO	’	1149	1.889	0	54	2	1093
WA-Catalog__sw_ulb	608156	LDQUO	“	5787	9.516	5784	0	0	3
WA-Catalog__sw_ulb	608156	RDQUO	”	5577	9.170	0	108	0	5469
WA-Catalog__sw_ulb	608156	BACKTICK	`	1	0.002	0	0	1	0
WA-Catalog__ta_ulb	431536	LDQUO	“	2	0.005	2	0	0	0
WA-Catalog__ta_ulb	431536	RDQUO	”	2	0.005	0	0	0	2
WA-Catalog__te_ulb	466074	DQUOTE_STRAIGHT	"	4	0.009	2	0	0	2
WA-Catalog__te_ulb	466074	LSQUO	‘	384	0.824	378	0	0	6
WA-Catalog__te_ulb	466074	RSQUO	’	370	0.794	2	3	0	365
WA-Catalog__te_ulb	466074	LDQUO	“	1899	4.074	1851	1	0	47
WA-Catalog__te_ulb	466074	RDQUO	”	1696	3.639	7	20	0	1669
WA-Catalog__te_ulb	466074	DIGRAPH_OPEN	<<	3867	8.297	0	0	0	0
WA-Catalog__te_ulb	466074	DIGRAPH_CLOSE	>>	3708	7.956	0	0	0	0
WA-Catalog__th_ulb	112900	DQUOTE_STRAIGHT	"	8430	74.668	4250	2629	17	1534
WA-Catalog__th_ulb	112900	APOS_STRAIGHT	'	2450	21.701	1153	778	0	519
WA-Catalog__th_ulb	112900	LSQUO	‘	306	2.710	305	0	0	1
WA-Catalog__th_ulb	112900	RSQUO	’	293	2.595	0	187	0	106
WA-Catalog__th_ulb	112900	LDQUO	“	1723	15.261	1702	0	0	21
WA-Catalog__th_ulb	112900	RDQUO	”	1668	14.774	1	982	0	685
WA-Catalog__th_ulb	112900	BACKTICK	`	6	0.053	5	1	0	0
WA-Catalog__tl_udb	1031796	DQUOTE_STRAIGHT	"	11943	11.575	6086	119	0	5738
WA-Catalog__tl_udb	1031796	APOS_STRAIGHT	'	3376	3.272	1288	113	848	1127
WA-Catalog__tl_udb	1031796	RSQUO	’	6	0.006	0	0	5	1
WA-Catalog__tl_udb	1031796	LDQUO	“	9	0.009	8	0	1	0
WA-Catalog__tl_udb	1031796	RDQUO	”	13	0.013	1	2	0	10
WA-Catalog__tl_udb	1031796	BACKTICK	`	2	0.002	0	1	0	1
WA-Catalog__tl_ulb	838810	DQUOTE_STRAIGHT	"	11628	13.862	5922	196	0	5510
WA-Catalog__tl_ulb	838810	APOS_STRAIGHT	'	3800	4.530	1469	128	769	1434
WA-Catalog__tl_ulb	838810	RSQUO	’	11	0.013	0	0	10	1
WA-Catalog__tl_ulb	838810	LDQUO	“	8	0.010	8	0	0	0
WA-Catalog__tl_ulb	838810	RDQUO	”	9	0.011	0	1	0	8
WA-Catalog__tpi_ulb	983696	DQUOTE_STRAIGHT	"	9395	9.551	4657	180	0	4558
WA-Catalog__tpi_ulb	983696	APOS_STRAIGHT	'	4942	5.024	1690	117	0	3135
WA-Catalog__tpi_ulb	983696	LSQUO	‘	3	0.003	0	0	0	3
WA-Catalog__tpi_ulb	983696	RSQUO	’	9	0.009	3	0	0	6
WA-Catalog__tpi_ulb	983696	LDQUO	“	5	0.005	5	0	0	0
WA-Catalog__tpi_ulb	983696	RDQUO	”	5	0.005	0	0	0	5
WA-Catalog__tpi_ulb	983696	BACKTICK	`	2	0.002	1	0	0	1
WA-Catalog__ur-deva_ulb	774406	DQUOTE_STRAIGHT	"	6745	8.710	4033	87	8	2617
WA-Catalog__ur-deva_ulb	774406	APOS_STRAIGHT	'	16508	21.317	12205	280	1413	2610
WA-Catalog__ur-deva_ulb	774406	LSQUO	‘	212	0.274	197	1	1	13
WA-Catalog__ur-deva_ulb	774406	RSQUO	’	196	0.253	40	8	16	132
WA-Catalog__ur-deva_ulb	774406	LDQUO	“	1211	1.564	1137	2	4	68
WA-Catalog__ur-deva_ulb	774406	RDQUO	”	1526	1.971	78	8	0	1440
WA-Catalog__ur-deva_ulb	774406	BACKTICK	`	6	0.008	2	0	0	4
WA-Catalog__vi_udb	317899	DQUOTE_STRAIGHT	"	120	0.377	34	1	0	85
WA-Catalog__vi_udb	317899	APOS_STRAIGHT	'	13	0.041	2	0	0	11
WA-Catalog__vi_udb	317899	LSQUO	‘	364	1.145	346	0	0	18
WA-Catalog__vi_udb	317899	RSQUO	’	357	1.123	0	29	0	328
WA-Catalog__vi_udb	317899	LDQUO	“	2010	6.323	1986	0	0	24
WA-Catalog__vi_udb	317899	RDQUO	”	1891	5.948	2	39	1	1849
WA-Catalog__vi_ulb	894460	DQUOTE_STRAIGHT	"	45	0.050	2	19	0	24
WA-Catalog__vi_ulb	894460	APOS_STRAIGHT	'	337	0.377	174	78	0	85
WA-Catalog__vi_ulb	894460	LSQUO	‘	1280	1.431	1280	0	0	0
WA-Catalog__vi_ulb	894460	RSQUO	’	1286	1.438	14	112	0	1160
WA-Catalog__vi_ulb	894460	LDQUO	“	5963	6.667	5949	0	0	14
WA-Catalog__vi_ulb	894460	RDQUO	”	5850	6.540	25	150	0	5675
WA-Catalog__vi_ulb	894460	BACKTICK	`	3	0.003	3	0	0	0
WycliffeAssociates__en_ulb	657757	DQUOTE_STRAIGHT	"	10671	16.223	5546	81	0	5044
WycliffeAssociates__en_ulb	657757	APOS_STRAIGHT	'	5333	8.108	1286	299	2586	1162
WycliffeAssociates__en_ulb	657757	LSQUO	‘	1	0.002	1	0	0	0
WycliffeAssociates__en_ulb	657757	RSQUO	’	2	0.003	0	0	2	0
WycliffeAssociates__en_ulb	657757	LDQUO	“	2	0.003	2	0	0	0
WycliffeAssociates__en_ulb	657757	RDQUO	”	1	0.002	0	0	0	1
